YEAR,REGION,AGE_GROUP,GENDER,GENDER_LABEL,POPULATION_INSEE,NB_DEPARTMENTS
2022,Normandie,60-74 ans,F,F,1002546,1
2022,Normandie,60-74 ans,M,M,890031,1
2022,Normandie,75+ ans,ALL,Ensemble,1032111,1
2022,Normandie,75+ ans,F,F,633948,1
2022,Normandie,75+ ans,M,M,398163,1
2022,Nouvelle-Aquitaine,0-19 ans,ALL,Ensemble,3909830,1
2022,Nouvelle-Aquitaine,0-19 ans,F,F,1901694,1
2022,Nouvelle-Aquitaine,0-19 ans,M,M,2008136,1
2022,Nouvelle-Aquitaine,20-39 ans,ALL,Ensemble,3956584,1
2022,Nouvelle-Aquitaine,20-39 ans,F,F,1980404,1
2022,Nouvelle-Aquitaine,20-39 ans,M,M,1976180,1
2022,Nouvelle-Aquitaine,40-59 ans,ALL,Ensemble,4813875,1
2022,Nouvelle-Aquitaine,40-59 ans,F,F,2456854,1
2022,Nouvelle-Aquitaine,40-59 ans,M,M,2357021,1
2022,Nouvelle-Aquitaine,60-74 ans,ALL,Ensemble,3683192,1
2022,Nouvelle-Aquitaine,60-74 ans,F,F,1948400,1
2022,Nouvelle-Aquitaine,60-74 ans,M,M,1734792,1
2022,Nouvelle-Aquitaine,75+ ans,ALL,Ensemble,2169320,1
2022,Nouvelle-Aquitaine,75+ ans,F,F,1304396,1
2022,Nouvelle-Aquitaine,75+ ans,M,M,864924,1
2022,Occitanie,0-19 ans,ALL,Ensemble,3980320,1
2022,Occitanie,0-19 ans,F,F,1939161,1
2022,Occitanie,0-19 ans,M,M,2041159,1
2022,Occitanie,20-39 ans,ALL,Ensemble,4064483,1
2022,Occitanie,20-39 ans,F,F,2041231,1
2022,Occitanie,20-39 ans,M,M,2023252,1
2022,Occitanie,40-59 ans,ALL,Ensemble,4630017,1
2022,Occitanie,40-59 ans,F,F,2367962,1
2022,Occitanie,40-59 ans,M,M,2262055,1
2022,Occitanie,60-74 ans,ALL,Ensemble,3374533,1
2022,Occitanie,60-74 ans,F,F,1780573,1
2022,Occitanie,60-74 ans,M,M,1593960,1
2022,Occitanie,75+ ans,ALL,Ensemble,2000191,1
2022,Occitanie,75+ ans,F,F,1189771,1
2022,Occitanie,75+ ans,M,M,810420,1
2022,Pays de la Loire,0-19 ans,ALL,Ensemble,1870394,1
2022,Pays de la Loire,0-19 ans,F,F,908486,1
2022,Pays de la Loire,0-19 ans,M,M,961908,1
2022,Pays de la Loire,20-39 ans,ALL,Ensemble,1757772,1
2022,Pays de la Loire,20-39 ans,F,F,873260,1
2022,Pays de la Loire,20-39 ans,M,M,884512,1
2022,Pays de la Loire,40-59 ans,ALL,Ensemble,1980314,1
2022,Pays de la Loire,40-59 ans,F,F,994020,1
2022,Pays de la Loire,40-59 ans,M,M,986294,1
2022,Pays de la Loire,60-74 ans,ALL,Ensemble,1376118,1
2022,Pays de la Loire,60-74 ans,F,F,725854,1
2022,Pays de la Loire,60-74 ans,M,M,650264,1
2022,Pays de la Loire,75+ ans,ALL,Ensemble,773834,1
2022,Pays de la Loire,75+ ans,F,F,468236,1
2022,Pays de la Loire,75+ ans,M,M,305598,1
2022,Pays-de-la-Loire,0-19 ans,ALL,Ensemble,935197,1
2022,Pays-de-la-Loire,0-19 ans,F,F,454243,1
2022,Pays-de-la-Loire,0-19 ans,M,M,480954,1
2022,Pays-de-la-Loire,20-39 ans,ALL,Ensemble,878886,1
2022,Pays-de-la-Loire,20-39 ans,F,F,436630,1
2022,Pays-de-la-Loire,20-39 ans,M,M,442256,1
2022,Pays-de-la-Loire,40-59 ans,ALL,Ensemble,990157,1
2022,Pays-de-la-Loire,40-59 ans,F,F,497010,1
2022,Pays-de-la-Loire,40-59 ans,M,M,493147,1
2022,Pays-de-la-Loire,60-74 ans,ALL,Ensemble,688059,1
2022,Pays-de-la-Loire,60-74 ans,F,F,362927,1
2022,Pays-de-la-Loire,60-74 ans,M,M,325132,1
2022,Pays-de-la-Loire,75+ ans,ALL,Ensemble,386917,1
2022,Pays-de-la-Loire,75+ ans,F,F,234118,1
2022,Pays-de-la-Loire,75+ ans,M,M,152799,1
2022,Provence-Alpes-Cote-d-Azur,0-19 ans,ALL,Ensemble,1124743,1
2022,Provence-Alpes-Cote-d-Azur,0-19 ans,F,F,546316,1
2022,Provence-Alpes-Cote-d-Azur,0-19 ans,M,M,578427,1
2022,Provence-Alpes-Cote-d-Azur,20-39 ans,ALL,Ensemble,1145242,1
2022,Provence-Alpes-Cote-d-Azur,20-39 ans,F,F,581427,1
2022,Provence-Alpes-Cote-d-Azur,20-39 ans,M,M,563815,1
2022,Provence-Alpes-Cote-d-Azur,40-59 ans,ALL,Ensemble,1336126,1
2022,Provence-Alpes-Cote-d-Azur,40-59 ans,F,F,690128,1
2022,Provence-Alpes-Cote-d-Azur,40-59 ans,M,M,645998,1
2022,Provence-Alpes-Cote-d-Azur,60-74 ans,ALL,Ensemble,953540,1
2022,Provence-Alpes-Cote-d-Azur,60-74 ans,F,F,511730,1
2022,Provence-Alpes-Cote-d-Azur,60-74 ans,M,M,441810,1
2022,Provence-Alpes-Cote-d-Azur,75+ ans,ALL,Ensemble,610661,1
2022,Provence-Alpes-Cote-d-Azur,75+ ans,F,F,365953,1
2022,Provence-Alpes-Cote-d-Azur,75+ ans,M,M,244708,1
2022,Provence-Alpes-Côte d'Azur,0-19 ans,ALL,Ensemble,2249486,1
2022,Provence-Alpes-Côte d'Azur,0-19 ans,F,F,1092632,1
2022,Provence-Alpes-Côte d'Azur,0-19 ans,M,M,1156854,1
2022,Provence-Alpes-Côte d'Azur,20-39 ans,ALL,Ensemble,2290484,1
2022,Provence-Alpes-Côte d'Azur,20-39 ans,F,F,1162854,1
2022,Provence-Alpes-Côte d'Azur,20-39 ans,M,M,1127630,1
2022,Provence-Alpes-Côte d'Azur,40-59 ans,ALL,Ensemble,2672252,1
2022,Provence-Alpes-Côte d'Azur,40-59 ans,F,F,1380256,1
2022,Provence-Alpes-Côte d'Azur,40-59 ans,M,M,1291996,1
2022,Provence-Alpes-Côte d'Azur,60-74 ans,ALL,Ensemble,1907080,1
2022,Provence-Alpes-Côte d'Azur,60-74 ans,F,F,1023460,1
2022,Provence-Alpes-Côte d'Azur,60-74 ans,M,M,883620,1
2022,Provence-Alpes-Côte d'Azur,75+ ans,ALL,Ensemble,1221322,1
2022,Provence-Alpes-Côte d'Azur,75+ ans,F,F,731906,1
2022,Provence-Alpes-Côte d'Azur,75+ ans,M,M,489416,1
2022,Île-de-France,0-19 ans,ALL,Ensemble,6199274,1
2022,Île-de-France,0-19 ans,F,F,3034342,1
2022,Île-de-France,0-19 ans,M,M,3164932,1
2022,Île-de-France,20-39 ans,ALL,Ensemble,6916670,1
2022,Île-de-France,20-39 ans,F,F,3554250,1
2022,Île-de-France,20-39 ans,M,M,3362420,1
2022,Île-de-France,40-59 ans,ALL,Ensemble,6457014,1
